project_id,state,project_type,total_land_required_hectares,land_acquired_percent,pending_approvals,compensation_pending_percent,legal_cases,affected_families,rr_completed_percent,possession_percent,planned_duration_months,environmental_clearance,forest_clearance,previous_delay_days,delay_days,delay_risk,project_status
LA00001,Gujarat,Highway,303.1,61.9,2,18.6,3,142,40.8,37.9,46,Approved,Approved,0,138,Medium,In Progress
LA00002,Jharkhand,Industrial Corridor,403.3,26.0,1,49.2,3,308,31.6,24.0,84,Approved,Approved,130,321,High,Early Stage
LA00003,Punjab,Industrial Corridor,119.2,30.8,1,57.8,4,100,2.4,29.1,65,Not Required,Pending,90,387,High,Early Stage
LA00004,Andhra Pradesh,Highway,31.7,53.6,2,39.3,6,30,43.9,39.2,35,Approved,Pending,119,310,High,Early Stage
LA00005,Andhra Pradesh,Highway,406.1,35.5,2,44.3,2,426,30.8,0.0,82,Pending,Pending,95,388,High,Early Stage
LA00006,Assam,Railway,37.9,54.5,2,35.8,2,33,32.7,43.4,12,Pending,Approved,102,264,Medium,Early Stage
LA00007,Gujarat,Industrial Corridor,120.0,70.0,1,37.9,4,80,64.1,55.0,54,Approved,Approved,58,208,Medium,In Progress
LA00008,Punjab,Airport,72.4,58.8,2,54.3,2,26,24.4,48.0,79,Approved,Approved,0,192,Medium,Early Stage
LA00009,Uttar Pradesh,Industrial Corridor,62.4,80.1,1,23.6,3,73,81.0,71.4,79,Approved,Approved,191,146,Medium,In Progress
LA00010,Gujarat,Railway,172.4,66.1,1,22.8,1,121,59.1,68.4,81,Approved,Approved,21,80,Low,In Progress
LA00011,Bihar,Highway,110.8,43.2,2,75.5,2,38,29.3,21.7,70,Approved,Pending,0,270,High,Early Stage
LA00012,Himachal Pradesh,Metro,139.2,58.6,3,49.8,6,118,24.9,48.9,70,Not Required,Not Required,117,335,High,Early Stage
LA00013,Haryana,Highway,45.0,36.3,3,48.4,7,18,27.1,15.7,84,Approved,Approved,151,352,High,Early Stage
LA00014,Jharkhand,Industrial Corridor,77.6,41.1,3,40.0,2,41,40.0,44.2,33,Approved,Approved,38,212,Medium,Early Stage
LA00015,Haryana,Highway,46.8,70.2,2,51.8,1,55,44.8,65.0,55,Approved,Not Required,51,102,Medium,In Progress
LA00016,Jharkhand,Highway,76.0,37.9,4,38.8,3,31,0.0,20.3,82,Approved,Approved,124,305,High,Early Stage
LA00017,Bihar,Metro,81.4,28.1,0,54.5,6,82,8.9,24.1,20,Approved,Approved,22,288,High,Early Stage
LA00018,Karnataka,Metro,431.7,59.1,3,45.6,1,117,82.3,50.2,79,Pending,Approved,0,193,Medium,Early Stage
LA00019,Chhattisgarh,Airport,72.2,84.4,3,25.8,2,71,69.8,75.3,28,Approved,Pending,107,131,Medium,In Progress
LA00020,West Bengal,Railway,20.0,71.3,1,19.2,3,11,49.4,67.6,84,Approved,Pending,51,110,Medium,In Progress
LA00021,Bihar,Power Transmission,294.7,49.6,1,37.8,1,193,75.8,28.9,72,Pending,Pending,127,337,High,Early Stage
LA00022,Telangana,Irrigation,131.9,54.3,1,39.9,1,137,55.1,14.6,27,Approved,Approved,80,258,Medium,Early Stage
LA00023,Tamil Nadu,Irrigation,80.5,48.1,2,29.4,1,67,63.1,19.7,24,Approved,Approved,26,157,Medium,Early Stage
LA00024,Uttarakhand,Airport,62.1,47.6,1,41.6,2,45,41.6,34.6,36,Approved,Approved,44,221,Medium,Early Stage
LA00025,Jharkhand,Airport,40.3,62.4,3,53.2,0,32,61.0,42.5,25,Pending,Approved,8,182,Medium,In Progress
LA00026,Kerala,Airport,467.5,51.8,1,63.1,3,504,42.5,22.3,61,Not Required,Approved,3,216,Medium,Early Stage
